id,x,y
1,1,5.5
2,-1,0.5
3,2.5,3.5
4,1.5,5.5
5,0.5,5.5
6,2.5,0
7,0.5,1
8,3.5,0
9,4,7.5
10,-1,5.5
11,2.5,6
12,-0.5,4.5
13,2,4
14,1.5,2
15,0,3.5
16,3,1.5
17,1,-1
18,3,0.5
19,3,-1
20,5,1
21,4,2.5
22,4,2
23,2.5,2
24,3,2
25,5,6
26,3.5,2.5
27,-0.5,6.5
28,0,1
29,4,6.5
30,-1,1.5
31,0,6
32,3.5,5
33,1.5,-1
34,-0.5,0
35,0,2
36,0,4
37,-0.5,1.5
38,0.5,5
39,2,8
40,1.5,2.5
41,2,4.5
42,0.5,8
43,4.5,-1
44,3,3.5
45,5,0.5
46,-0.5,3
47,-0.5,-0.5
48,4,0
49,4.5,2.5
50,4.5,5.5
51,5,4
52,4,8
53,2.5,3
54,2,7.5
55,5,7.5
56,1.5,0
57,1,7.5
58,0,0.5
59,2,0.5
60,0,5
61,5,5.5
62,1.5,4
63,3.5,-0.5
64,-0.5,2
65,5,6.5
66,1.5,1.5
67,4,0.5
68,1.5,5
69,2.5,8
70,0,-1
71,2.5,-0.5
72,4,4
73,0,0
74,-1,2
75,3,8
76,2,6.5
77,1,0
78,-1,7
79,1.5,6
80,4,6
81,4.5,7.5
82,0,7.5
83,4.5,0
84,2.5,-1
85,3.5,4
86,0,4.5
87,1,8
88,1.5,3.5
89,3.5,2
90,4,1
91,5,1.5
92,1,4.5
93,2.5,6.5
94,-1,6
95,2,1
96,3,1
97,5,4.5
98,4,5.5
99,-1,-1
100,1.5,4.5
